2023-02-19 18:36:33:0470 INFO  - Parse command line arguments
2023-02-19 18:36:33:0534 INFO  - Parse read line
2023-02-19 18:36:33:0534 INFO  - Create command "PRINT"
2023-02-19 18:36:33:0535 INFO  - Launch command "PRINT"
2023-02-19 18:36:33:0535 INFO  - Parse read line
2023-02-19 18:36:33:0535 INFO  - Create command "POP"
2023-02-19 18:36:33:0535 INFO  - Launch command "POP"
2023-02-19 18:36:33:0536 INFO  - Parse read line
2023-02-19 18:36:33:0536 INFO  - Create command "PRINT"
2023-02-19 18:36:33:0536 INFO  - Launch command "PRINT"
2023-02-19 18:36:33:0542 WARN  - Exception: 
ru.nsu.ccfit.petrov.task2.context.exception.EmptyStackException: Context exception: Empty stack
	at ru.nsu.ccfit.petrov.task2.context.Context.peekStackValue(Context.java:79)
	at ru.nsu.ccfit.petrov.task2.commands.Print.run(Print.java:22)
	at ru.nsu.ccfit.petrov.task2.Calculator.run(Calculator.java:75)
	at ru.nsu.ccfit.petrov.task2.Main.main(Main.java:46)
